mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,mzo,mzoscan,sn
402.0143278,402.0127685,402.0195784,339.405,332.726,345.605,597.9375027,520.6022965,153.098877,402.0136337,456,11
139.0133738,139.0129684,139.0151618,318.867,311.547,334.326,2247.724733,2127.206144,197.1847382,139.0132992,434,16
289.0649001,289.0593137,289.0675748,286.369,279.71,291.619,2149.206867,1786.719069,485.9937439,289.0640235,390,10
462.8742437,462.8694095,462.874667,337.026,332.726,340.965,6723.926464,6716.511364,2211.574951,462.8745545,455,2211
121.0271645,121.0265579,121.027495,37.099,30.419,42.828,4970.368964,4857.306011,2005.40332,121.0270482,79,132
394.2093271,394.2048224,394.2110336,84.335,74.666,93.434,9418.927738,8632.720737,1055.526001,394.2110336,138,8
581.0975532,581.0934893,581.1013125,30.419,25.669,32.389,1327.548911,1321.788911,544.4142456,581.0971247,72,543
576.2605853,576.257199,576.2640429,52.657,50.177,54.317,1191.572455,1183.546089,489.0768738,576.260167,98,48
686.5630593,686.5594681,686.5658545,176.208,173.818,180.888,2901.703383,2895.418938,1101.50769,686.5621929,254,1101
272.1264854,272.1255948,272.1274844,54.317,49.438,60.337,33499.85345,31605.00031,8775.816406,272.1271303,101,30
229.963471,229.961225,229.9643387,271.661,266.781,274.91,547.2024067,535.5053123,213.7048035,229.9643387,373,30
637.2599139,637.2559645,637.2624056,26.529,20.936,29.239,3433.036672,3425.563972,1628.511963,637.2605437,70,1628
570.4532498,570.4521718,570.4545308,6.144,0.276,21.68,17642.11514,17620.71114,1032.717773,570.4523181,12,1032
342.7358398,342.7340398,342.738693,31.559,28.289,33.949,1675.094515,1670.377848,537.1185913,342.7340398,75,536
412.8656874,412.8642556,412.8677173,31.559,28.289,33.169,3693.821611,3689.917611,2423.804199,412.8656949,72,2423
559.706842,559.7047668,559.7090241,32.389,27.4,34.779,5861.550083,5855.093458,3259.778564,559.7073779,73,3259
328.0428214,328.0410652,328.0459194,330.276,323.707,334.326,1551.755982,1505.702419,461.0386047,328.0414407,445,18
