PeakID,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,S/N
149,173,0.1024,0.4873167,0.57965,775.3174,3009.477051,13719.13379,81.10986
150,173,0.1660667,0.4873167,0.6183167,781.979,17081.19141,83515.25,364.701
151,173,0.1182167,0.4873167,0.6318,782.9805,6719.115234,32869.625,134.0049
152,173,0.2317833,0.4873167,0.5929833,787.4757,18794.56836,92334.1875,1295.333
153,173,0.1076167,0.4873167,0.57965,788.4791,10000.70703,49524.22656,417.663
154,173,0.41365,0.4873167,0.6718,789.4796,3509.418701,18977.23633,48.95982
155,173,0.09723333,0.4873167,0.6581333,803.4708,16206.15332,83535.71875,677.5293
156,173,0.2495,0.4873167,0.5658166,804.4797,11295.32324,56837.12109,406.4991
157,173,0.1129,0.4873167,0.5658166,805.4802,4800.272949,22984.7793,174.4157
158,173,0.1076167,0.4873167,0.6183167,817.4478,1390.489136,9021.199219,24.08004
159,173,0.1500667,0.4873167,0.6183167,821.4703,1850.871826,9041.446289,75.19215
160,173,0.3736667,0.4873167,0.6581333,823.4059,1862.590332,9770.368164,31.65342
161,173,0.2087667,0.4873167,0.57965,824.4053,1015.182312,5386.824707,17.71136
162,173,0.3329667,0.4873167,0.57965,832.2379,2980.880127,15011.46777,69.44805
163,173,0.41365,0.4873167,0.57965,833.2382,2635.364258,12074.83887,47.28372
164,173,0.41365,0.4873167,0.57965,834.2353,2501.241943,11307.70117,57.77092
165,173,0.41365,0.4873167,0.57965,835.2358,1281.64856,5768.813477,35.11091
166,173,0.4278167,0.4873167,0.6581333,835.4583,1603.202148,9711.201172,39.74039
167,173,0.2495,0.4873167,0.6718,837.6161,9942.560547,46329.60156,306.5013
168,173,0.0714,0.4873167,0.7969667,843.5367,14039.90039,74138.75,301.3496
169,173,0.1024,0.4873167,0.57965,844.5409,7966.854004,40744.57031,227.4341
170,173,0.41365,0.4873167,0.57965,845.542,2909.662354,15101.85742,94.64706
171,173,0.2317833,0.4873167,0.7694666,853.999,3508.104248,16772.43555,139.6698
172,173,0.2265,0.4873167,0.7138,855.001,1532.091797,6925.077148,64.1709
173,173,0.41365,0.4873167,0.6183167,857.4091,2393.133789,10576.80176,44.16567
174,173,0.41365,0.4873167,0.6318,858.411,1072.650879,4811.060059,15.03928
175,173,0.08173333,0.4873167,0.5658166,859.5317,7921.799805,40700.52344,321.0315
176,173,0.1024,0.4873167,0.5658166,860.5353,4328.11084,21788.53906,169.4091
177,173,0.1129,0.4873167,0.5658166,861.5404,3121.065674,14806.11719,152.653
178,173,0.1394,0.4873167,0.6183167,865.6458,5415.328613,25314.79297,360.5434
179,173,0.2671667,0.4873167,0.6318,866.6505,1973.776001,8593.191406,108.5908
180,173,0.1024,0.4873167,0.57965,875.5257,3987.220215,20837.94141,81.02471
181,173,0.2265,0.4873167,0.5658166,876.5255,2746.647705,13620.12891,86.71662
182,173,0.41365,0.4873167,0.6859667,877.5229,1400.568115,7188.630859,37.81045
183,173,0.0869,0.4873167,0.6581333,879.4618,1863.979614,9471.036133,59.87944
184,173,0.1660667,0.4873167,0.7138,889.4714,1885.19165,9106.765625,48.19035
185,173,0.2317833,0.4873167,0.5658166,895.4605,1188.981689,6636.947266,33.28629
186,173,0.07656667,0.4873167,0.6859667,899.5989,19277.57227,110781.625,785.4976
187,173,0.07656667,0.4873167,0.6581333,900.6029,10787.03418,60184.57031,494.8359
188,173,0.41365,0.4873167,0.57965,906.2557,2457.367188,11412.00586,58.1187
189,173,0.3613333,0.4873167,0.5658166,907.2556,1927.670898,9019.958008,46.62243
190,173,0.3865,0.4873167,0.60565,908.2538,1910.686523,8896.274414,54.3092
191,173,0.3736667,0.4873167,0.57965,909.2535,1134.522461,5388.817383,36.07891
192,173,0.2495,0.4873167,0.5658166,913.4703,2283.641602,10751.15234,34.33124
193,173,0.2495,0.4873167,0.6581333,914.4742,1240.948853,5822.268555,33.96317
194,173,0.09206667,0.4873167,0.5658166,915.5926,5931.259766,30474.54102,297.045
195,173,0.2671667,0.4873167,0.6318,923.5667,8652.999023,44560.51172,296.9127
196,173,0.2141,0.4873167,0.8109667,924.0688,7747.316895,36709.62891,217.109
197,173,0.1394,0.4873167,0.6453,925.0706,1761.8125,8299.766602,46.99118
198,173,0.1076167,0.4873167,0.57965,931.5854,2954.273438,16794.43359,101.1229
199,173,0.1076167,0.4873167,0.7138,932.5914,1716.191406,12699.55762,50.49561
200,173,0.12355,0.4873167,0.5658166,935.5272,1269.169434,6124.11084,76.77608
201,173,0.09206667,0.4873167,0.6318,945.5788,2705.365723,14386.94043,123.9372
202,173,0.2265,0.4873167,0.6318,946.0815,1952.200684,9263.905273,86.895
203,173,0.1024,0.4873167,0.7969667,946.5831,1567.550781,7476.710938,60.39317
204,173,0.41365,0.4873167,0.5658166,947.5834,1851.518066,10496.95215,53.98388
205,173,0.4278167,0.4873167,0.8239667,948.5834,1148.54834,6993.212891,47.9743
206,173,0.41365,0.4873167,0.6183167,951.524,1399.246704,6826.033203,54.21366
207,173,0.1024,0.4873167,0.5658166,969.5314,2039.438721,9829.602539,38.92612
208,173,0.3865,0.4873167,0.5658166,970.5346,1425.837402,7313.758789,24.86786
209,173,0.41365,0.4873167,0.60565,980.2741,1330.686157,6077.718262,50.20636
210,173,0.4,0.4873167,0.57965,981.2746,1237.876221,5687.241699,35.74405
211,173,0.3865,0.4873167,0.60565,982.2716,1285.452881,5862.469238,49.9396
212,173,0.12355,0.4873167,0.5658166,985.5275,1131.621094,6238.818848,50.40756
213,173,0.2265,0.4873167,0.7694666,996.0894,1639.597412,7877.42334,66.19315
214,173,0.2671667,0.4873167,0.57965,1015.648,1135.127197,5458.378906,48.04794
215,173,0.41365,0.4873167,0.8109667,1023.579,1191.97937,5609.858887,35.91284
216,173,0.1874167,0.4873167,0.7694666,1065.154,2295.178467,11425.32129,81.1143
217,173,0.1447333,0.4873167,0.5929833,1065.657,3320.534424,16450.94531,132.5565
218,173,0.2141,0.4873167,0.7278,1066.157,1647.818115,7971.997559,59.95408
219,173,0.1660667,0.4873167,0.7831333,1066.659,1310.462646,6457.979004,42.91844
220,173,0.1076167,0.4873167,0.8109667,1163.768,1133.557617,5409.802734,82.33192
221,173,0.41365,0.4873167,0.60565,1194.814,36546.76563,174248.3906,1894.847
222,173,0.0869,0.4873167,0.5929833,1195.817,26630.95313,126225.0078,2142.727
223,173,0.0869,0.4873167,0.6183167,1196.819,11136.4082,53188.87109,882.6575
224,173,0.41365,0.4873167,0.60565,1197.821,3455.284668,16204.31348,208.547
225,173,0.1340667,0.4873167,0.5658166,1198.817,1195.547974,5465.407227,59.10953
226,186,0.3436,0.5069833,0.6183167,223.0624,4851.992676,29944.32617,27.38349
227,186,0.41365,0.5069833,0.5929833,281.0501,2091.203857,10768.56934,9.60482
228,186,0.3613333,0.5069833,0.5929833,283.0289,2999.677246,15669.5,15.43964
229,186,0.2547667,0.5069833,0.60565,295.6956,2100.204102,9693.381836,178.8182
230,186,0.4,0.5069833,0.6998,295.9467,1290.445801,5591.118164,14.40498
231,186,0.2317833,0.5069833,0.6859667,320.6988,2355.785156,10659.82324,375.2222
232,186,0.16075,0.5069833,0.6581333,320.9496,1788.503784,8243.388672,12.55652
233,186,0.2265,0.5069833,0.6581333,332.8708,9419.929688,42269.51953,195.7014
234,186,0.2777667,0.5069833,0.7416334,333.5392,1693.093018,7136.849121,205.1223
235,186,0.2265,0.5069833,0.7278,340.9305,2617.173584,12045.18652,17.91238
236,186,0.2939,0.5069833,0.60565,347.6267,2907.18335,12985.52637,233.953
